index,Title,Release Date,Year,IMDb Rating,Runtime (mins),Genres,Directors
194,Fantastic Four,29-06-2005,2005,5.7,106,"Action, Adventure, Family, Fantasy, Sci-Fi",Tim Story
195,Fantastic Four: Rise of the Silver Surfer,12-06-2007,2007,5.6,92,"Action, Adventure, Family, Fantasy, Sci-Fi",Tim Story
196,Furious 6,07-05-2013,2013,7.1,130,"Action, Adventure, Thriller",Justin Lin
197,Fast & Furious 7,16-03-2015,2015,7.1,137,"Action, Adventure, Thriller",James Wan
198,Father of the Bride,20-12-1991,1991,6.5,105,"Comedy, Family, Romance",Charles Shyer
199,Father of the Bride Part II,08-12-1995,1995,6,106,"Comedy, Family, Romance",Charles Shyer
200,Final Destination,16-03-2000,2000,6.7,98,"Horror, Thriller",James Wong
201,Final Destination 2,30-01-2003,2003,6.2,90,"Horror, Thriller",David R. Ellis
202,Final Destination 3,09-02-2006,2006,5.8,93,"Fantasy, Horror, Thriller",James Wong
203,The Final Destination,26-08-2009,2009,5.2,82,"Fantasy, Horror, Thriller",David R. Ellis
204,Final Destination 5,04-08-2011,2011,5.8,92,"Horror, Thriller",Steven Quale
205,Finding Nemo,18-05-2003,2003,8.1,100,"Animation, Adventure, Comedy, Family","Andrew Stanton, Lee Unkrich"
206,Finding Dory,08-06-2016,2016,7.3,97,"Animation, Adventure, Comedy, Family","Andrew Stanton, Angus MacLane"
207,First Blood,22-10-1982,1982,7.7,93,"Action, Adventure",Ted Kotcheff
208,Fletch,31-05-1985,1985,6.9,98,"Comedy, Crime, Mystery",Michael Ritchie
209,Fletch Lives,17-03-1989,1989,6.1,95,"Comedy, Crime, Mystery",Michael Ritchie
210,Fortress,18-12-1992,1992,5.9,95,"Action, Crime, Sci-Fi, Thriller",Stuart Gordon
211,Fortress 2,02-03-2000,2000,4.6,92,"Action, Sci-Fi",Geoff Murphy
212,Freddy vs. Jason,13-08-2003,2003,5.7,97,"Action, Horror",Ronny Yu
213,Freddy's Dead: The Final Nightmare,05-09-1991,1991,4.9,89,"Fantasy, Horror",Rachel Talalay
214,Friday the 13th,09-05-1980,1980,6.5,95,"Horror, Mystery, Thriller",Sean S. Cunningham
